Car_Make,Car_Model,Year,Body_Type,Color_Options,Fuel_Type,Engine_Size_L,Horsepower,Torque_Nm,Transmission_Type,Top_Speed_mph,Mileage_MPG,Safety_Features,Entertainment_Features,Interior_Features,Exterior_Features,Price,Customer_Ratings,Sales_Figures_Units_Sold,Revenue,0-60_Time
Nissan,Rogue Sport,2023,SUV,Blue; White; Gray,Gasoline,2.5,181,181,CVT,130,32,ABS; Airbags; Intelligent Forward Collision Warning; RearView Monitor,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Mirrors,LED Daytime Running Lights;17-inch Alloy Wheels,23430,4.599999905,1700,39831000,9.1
Volkswagen,Taos,2023,SUV,Silver; Blue; Black,Gasoline,1.5,158,250,Automatic,124,32,ABS; Airbags; Lane Keeping System; Rear Traffic Alert,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Wireless Smartphone Charger,LED Headlights;17-inch Alloy Wheels,23900,4.699999809,2300,54970000,8.9
Mazda,Mazda6,2023,Sedan,White; Red; Gray,Gasoline,2.5,187,186,Automatic,130,31,ABS; Airbags; Mazda Connected Services; Rearview Camera,8-inch MAZDA CONNECT Display,Cloth Seats; Keyless Entry; Dual-Zone Climate Control,LED Headlights;17-inch Alloy Wheels,24325,4.699999809,1200,29190000,7.6
Honda,HR-V,2023,SUV,Green; White; Gray,Gasoline,1.799999952,141,172,CVT,120,31,ABS; Airbags; Collision Mitigation Braking System; Lane Keeping Assist,7-inch Display Audio System,Cloth Seats; Power Mirrors; Keyless Entry,LED Daytime Running Lights;17-inch Alloy Wheels,24650,4.5,2200,54230000,10.2
Kia,Sportage,2023,SUV,Black; Silver; Red,Gasoline,2.400000095,181,237,Automatic,120,26,ABS; Airbags; Forward Collision-Avoidance Assist; Lane Keeping Assist,8-inch Touchscreen Display,Cloth Seats; Power Mirrors; Keyless Entry,LED Daytime Running Lights;17-inch Alloy Wheels,25000,4.599999905,2200,55000000,8.3
Chevrolet,Camaro,2023,Coupe,Red; Black; White,Gasoline,2,275,295,Automatic,155,23,ABS; Airbags; StabiliTrak Electronic Stability Control,8-inch Infotainment System,Cloth Seats; Power Driver's Seat; Keyless Entry,LED Headlights; Rear Spoiler;18-inch Alloy Wheels,25000,4.699999809,1600,40000000,5.2
Kia,Sportage,2023,SUV,Blue; White; Black,Gasoline,2.400000095,181,175,CVT,130,27,ABS; Airbags; Forward Collision-Avoidance Assist; Rear View Camera,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Lane Keeping Assist,LED Headlights;18-inch Alloy Wheels,25000,4.599999905,2000,50000000,8.9
Subaru,Forester,2023,SUV,Blue; Black; Gray,Gasoline,2.5,182,176,CVT,130,28,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,8.0-inch STARLINK Display,Cloth Seats; Keyless Entry; Power Windows,LED Headlights; Roof Rails;17-inch Alloy Wheels,25195,4.699999809,1500,37792500,9.3
Toyota,Camry,2023,Sedan,White; Gray; Black,Gasoline,2.5,206,186,Automatic,120,39,ABS; Airbags; Toyota Safety Sense2.5+; Rear Cross Traffic Alert,7-inch Touchscreen Display,Cloth Seats; Power Front Seats; Keyless Entry,LED Headlights; Alloy Wheels; Power Sunroof,26170,4.699999809,1600,41872000,8.1
Subaru,Legacy,2023,Sedan,Gray; Blue; Black,Gasoline,2.400000095,228,376,CVT,130,35,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,11.6-inch Touchscreen Display,Cloth Seats; Power Driver's Seat; Keyless Access,LED Headlights; Alloy Wheels; Power Sunroof,26245,4.699999809,1500,39367500,6.1
Jeep,Compass,2023,SUV,Red; White; Black,Gasoline,2.400000095,177,237,Automatic,125,29,ABS; Airbags; Hill Start Assist; ParkView Rear Back-Up Camera,8.4-inch Uconnect Infotainment,Cloth Seats; Keyless Entry; Dual-Zone Automatic Climate Control,LED Headlights; Roof Rails;18-inch Alloy Wheels,26350,4.699999809,2200,57970000,9.1
Hyundai,Sonata,2023,Sedan,White; Gray; Black,Gasoline,2.5,191,182,Automatic,120,38,ABS; Airbags; Forward Collision-Avoidance Assist; Lane Keeping Assist,8-inch Touchscreen Display,Cloth Seats; Power Front Seats; Keyless Entry,LED Headlights;16-inch Alloy Wheels,26650,4.699999809,2100,55965000,7.8
Subaru,Forester,2023,SUV,Black; Red; Blue,Gasoline,2.5,182,239,CVT,120,29,ABS; Airbags; Lane Departure Warning; Adaptive Cruise Control,8-inch Touchscreen Display,Cloth Seats; Power Mirrors; Keyless Entry,LED Daytime Running Lights; Roof Rails;17-inch Alloy Wheels,26995,4.599999905,2400,64788000,8.2
Subaru,Crosstrek,2023,SUV,Orange; Black; White,Gasoline,2.5,182,239,CVT,130,29,ABS; Airbags; EyeSight Driver Assist; Rear Vision Camera,8-inch Touchscreen Display,Cloth Seats; Keyless Access; Power Sunroof,LED Daytime Running Lights; Roof Rails;17-inch Alloy Wheels,27495,4.599999905,2000,54990000,8.4
Hyundai,Tucson,2023,SUV,Silver; Gray; Black,Gasoline,2.5,187,241,Automatic,126,28,ABS; Airbags; Forward Collision-Avoidance Assist; Rear View Camera,10.25-inch Touchscreen Display,Cloth Seats; Keyless Entry; Wireless Smartphone Charging,LED Daytime Running Lights;17-inch Alloy Wheels,27500,4.599999905,1500,41250000,7.8
Mazda,Mazda6,2023,Sedan,White; Black; Gray,Gasoline,2.5,187,251,Automatic,130,31,ABS; Airbags; Blind Spot Monitoring; Rear Cross Traffic Alert,8-inch Infotainment System,Leather Seats; Power Driver's Seat; Keyless Entry,LED Headlights; Alloy Wheels; Power Sunroof,27550,4.699999809,1300,35815000,8.1
Ford,Escape,2023,SUV,Blue; White; Black,Gasoline,1.5,181,190,Automatic,130,30,ABS; Airbags; Ford Co-Pilot360; Rear View Camera,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Headlights;18-inch Alloy Wheels,27650,4.599999905,1500,41475000,7.1
Hyundai,Santa Fe,2023,SUV,Blue; White; Black,Gasoline,2.5,191,182,Automatic,130,26,ABS; Airbags; Forward Collision-Avoidance Assist with Pedestrian Detection,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Rear Occupant Alert,LED Headlights;18-inch Alloy Wheels,27700,4.599999905,1700,47090000,8.6
Mazda,MX-5 Miata,2023,Convertible,Red; Black; White,Gasoline,2,181,151,Manual,120,34,ABS; Airbags; Rearview Camera; Blind Spot Monitoring,7-inch MAZDA CONNECT Display,Leather Seats; Keyless Entry; Bose Audio System,LED Headlights;17-inch Alloy Wheels,27775,4.699999809,1000,27775000,6.5
Subaru,Outback,2023,Wagon,Silver; Green; Black,Gasoline,2.400000095,260,277,Automatic,135,29,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,11.6-inch STARLINK Display,Cloth Seats; Keyless Entry; Power Liftgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,27845,4.699999809,1400,38983000,6.7
Nissan,Rogue,2023,SUV,Green; Black; White,Gasoline,2.5,181,245,CVT,115,28,ABS; Airbags; Blind Spot Warning; Rear Cross Traffic Alert,8-inch Touchscreen Display,Cloth Seats; Power Mirrors; Dual-Zone Climate Control,LED Taillights; Roof Rails; Power Liftgate,27850,4.599999905,2100,58485000,8.6
Chevrolet,Equinox,2023,SUV,Black; Red; Silver,Gasoline,1.5,170,275,Automatic,125,29,ABS; Airbags; Lane Keep Assist; Forward Collision Alert,8-inch Infotainment System,Cloth Seats; Keyless Entry; Power Windows,LED Daytime Running Lights;17-inch Alloy Wheels,27900,4.599999905,1900,53010000,8.8
Toyota,Prius,2023,Hatchback,Blue; White; Gray,Hybrid,1.799999952,96,,CVT,115,50,ABS; Airbags; Pre-Collision System; Lane Departure Alert,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Push Button Start,LED Headlights;15-inch Alloy Wheels,27900,4.699999809,1200,33480000,10.1
Hyundai,Sonata,2023,Sedan,Red; Silver; White,Gasoline,2.5,191,245,Automatic,130,29,ABS; Airbags; Forward Collision Warning; Lane Keeping Assist,10.25-inch Touchscreen Display,Leather Seats; Power Driver's Seat; Push Button Start,LED Daytime Running Lights; Alloy Wheels,28450,4.800000191,2000,56900000,7.6
Toyota,Camry,2022,Sedan,White; Silver; Black,Gasoline,2.5,203,245,Automatic,135,31,ABS; Airbags; Lane-Keeping Assist; Blind Spot Monitor,8-inch Touchscreen Infotainment System,Leather Seats; Power Driver's Seat; Dual-Zone Climate Control,LED Headlights; Alloy Wheels; Sunroof,28500,4.5,1500,42750000,7.9
Ford,Ranger,2023,Truck,Red; Black; Gray,Gasoline,2.299999952,270,310,Automatic,120,21,ABS; Airbags; AdvanceTrac with Roll Stability Control,8-inch SYNC3 Infotainment System,Cloth Seats; Keyless Entry; Power Mirrors,LED Taillights; Bedliner;16-inch Alloy Wheels,28570,4.699999809,1400,39998000,6.8
Ford,Mustang,2023,Coupe,Red; Black; Blue,Gasoline,2.299999952,310,350,Automatic,155,22,ABS; Airbags; AdvanceTrac Electronic Stability Control,12-inch Digital Instrument Cluster,Cloth Seats; Power Driver's Seat; Keyless Entry,LED Headlights; Rear Spoiler;18-inch Alloy Wheels,28700,4.800000191,1500,43050000,5.2
Ford,Escape,2023,SUV,Blue; White; Gray,Gasoline,2,250,380,Automatic,135,28,ABS; Airbags; Lane Keeping Assist; Rear View Camera,10.1-inch SYNC3 Infotainment System,Cloth Seats; Keyless Entry; Power Liftgate,LED Taillights; Roof Rails;18-inch Alloy Wheels,28895,4.699999809,2600,75127000,6.9
Nissan,Frontier,2023,Truck,Red; Black; Gray,Gasoline,3.799999952,310,281,Automatic,120,19,ABS; Airbags; Nissan Safety Shield360; RearView Monitor,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Headlights; Bedliner;17-inch Alloy Wheels,28950,4.599999905,2000,57900000,6.4
Toyota,RAV4,2023,SUV,Blue; Silver; Green,Gasoline,2.5,203,243,Automatic,120,30,ABS; Airbags; Lane Tracing Assist; Blind Spot Monitoring,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Dual-Zone Climate Control,LED Daytime Running Lights; Roof Rails,29350,4.5,2500,73375000,8
Mazda,CX-5,2023,SUV,Red; Silver; Black,Gasoline,2.5,187,251,Automatic,129,29,ABS; Airbags; Blind Spot Monitor; Rear Cross Traffic Alert,10.25-inch Infotainment Display,Leather Seats; Heated Front Seats; Power Sunroof,LED Headlights; Roof Rails;19-inch Alloy Wheels,30545,4.800000191,2300,70253500,8.1
Subaru,Outback,2023,Wagon,Green; Black; Gray,Gasoline,2.400000095,228,376,CVT,130,26,ABS; Airbags; Lane Departure Warning; Adaptive Cruise Control,11.6-inch Touchscreen Display,Leather Seats; Heated Front Seats; Power Liftgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,30895,4.599999905,1200,37074000,6.8
Honda,CR-V,2023,SUV,Gray; Blue; Silver,Gasoline,1.5,190,240,CVT,130,32,ABS; Airbags; Collision Mitigation; Lane Keeping Assist,8-inch Display Audio System,Cloth Seats; Bluetooth Connectivity; Power Sunroof,LED Daytime Running Lights; Roof Rails,31450,4.800000191,2700,84915000,7.5
Subaru,Outback,2023,SUV,Blue; Black; Silver,Gasoline,2.400000095,228,375,CVT,120,26,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,11.6-inch Touchscreen Display,Cloth Seats; Power Driver's Seat; Keyless Entry,LED Headlights; Roof Rails;18-inch Alloy Wheels,31945,4.699999809,1600,51112000,7
Kia,Sorento,2023,SUV,Silver; Black; Blue,Gasoline,2.5,191,245,Automatic,126,27,ABS; Airbags; Forward Collision Warning; Rear View Camera,8-inch Touchscreen Display,Leather Seats; Heated Front Seats; Power Tailgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,32350,4.599999905,1500,48525000,7.7
Ford,Edge,2023,SUV,White; Gray; Blue,Gasoline,2,250,379,Automatic,130,25,ABS; Airbags; Ford Co-Pilot360; Lane-Keeping System,12-inch SYNC4 Infotainment System,Cloth Seats; Power Windows; Dual-Zone Climate Control,LED Headlights; Roof Rails;18-inch Alloy Wheels,32650,4.800000191,1800,58770000,7.3
Nissan,Pathfinder,2023,SUV,Blue; White; Black,Gasoline,3.5,284,351,Automatic,120,23,ABS; Airbags; Rear Automatic Braking; Rear Cross Traffic Alert,8-inch Touchscreen Display,Cloth Seats; Power Windows; Tri-Zone Automatic Climate Control,LED Headlights; Roof Rails;18-inch Alloy Wheels,33000,4.699999809,1400,46200000,7.3
Nissan,Pathfinder,2023,SUV,Black; White; Gray,Gasoline,3.5,284,259,Automatic,120,26,ABS; Airbags; Intelligent Forward Collision Warning; RearView Monitor,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Tri-Zone Climate Control,LED Headlights;18-inch Alloy Wheels,33410,4.599999905,1600,53456000,6.4
Subaru,Ascent,2023,SUV,Blue; Black; White,Gasoline,2.400000095,260,277,CVT,120,22,ABS; Airbags; EyeSight Driver Assist Technology; Rear Vision Camera,6.5-inch Multimedia Plus Display,Cloth Seats; Keyless Entry; Three-Zone Automatic Climate Control,LED Headlights; Roof Rails;18-inch Alloy Wheels,33420,4.699999809,1800,60156000,7.3
Volkswagen,Atlas,2023,SUV,Silver; Blue; White,Gasoline,2,235,350,Automatic,130,22,ABS; Airbags; Lane Assist; Rear Traffic Alert,8-inch Touchscreen Display,Cloth Seats; Power Mirrors; Keyless Entry,LED Headlights; Roof Rails;18-inch Alloy Wheels,33450,4.699999809,1800,60210000,7.6
Jeep,Wrangler,2023,SUV,Red; Black; Gray,Gasoline,3,285,260,Automatic,110,20,ABS; Airbags; Electronic Stability Control; ParkView Rear Back-Up Camera,8.4-inch Uconnect Touchscreen,Cloth Seats; Keyless Entry; Removable Doors,LED Headlights; Off-Road Suspension;17-inch Alloy Wheels,33590,4.699999809,1600,53744000,6.5
Ford,Bronco,2023,SUV,Blue; Black; Gray,Gasoline,2.700000048,310,542,Automatic,120,22,ABS; Airbags; AdvanceTrac with RSC; Trail Control,8-inch SYNC4A Infotainment System,Cloth Seats; Keyless Entry; Power Front Windows,LED Headlights; Removable Top;17-inch Alloy Wheels,33790,4.800000191,1900,64201000,5.9
GMC,Acadia,2023,SUV,Red; Black; White,Gasoline,2,228,349,Automatic,130,23,ABS; Airbags; Lane Keep Assist; Rear Cross Traffic Alert,8-inch Infotainment System,Cloth Seats; Keyless Entry; Power Liftgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,33900,4.699999809,1500,50850000,7.5
GMC,Acadia,2023,SUV,Red; Black; White,Gasoline,2,228,349,Automatic,130,23,ABS; Airbags; Lane Keep Assist; Rear Cross Traffic Alert,8-inch Infotainment System,Cloth Seats; Keyless Entry; Power Liftgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,33900,4.699999809,1600,54240000,7.5
Chevrolet,Bolt EUV,2023,SUV,Silver; Blue; Black,Electric,,200,360,Automatic,120,110,ABS; Airbags; HD Rear Vision Camera; Lane Keep Assist with Lane Departure Warning,10.2-inch Infotainment Display,Cloth Seats; Keyless Entry; Wireless Smartphone Charging,LED Headlights; Roof Rails;17-inch Alloy Wheels,33995,4.900000095,900,30595500,6.5
Toyota,Sienna,2023,Minivan,White; Gray; Black,Gasoline,2.5,245,263,Automatic,115,35,ABS; Airbags; Toyota Safety Sense2.5+; Rear Parking Assist Sonar,9-inch Touchscreen Display,Cloth Seats; Power Front Seats; Keyless Entry,LED Daytime Running Lights; Dual Power Sliding Doors;17-inch Alloy Wheels,34750,4.699999809,1900,66025000,7.8
Kia,Carnival,2023,Minivan,Gray; Black; White,Gasoline,3.5,290,262,Automatic,120,22,ABS; Airbags; Forward Collision Avoidance Assist; Lane Keeping Assist,8-inch Touchscreen Display,Cloth Seats; Power Front Seats; Keyless Entry,LED Headlights; Dual Power Sliding Doors;19-inch Alloy Wheels,35600,4.800000191,1700,60520000,7.5
Volvo,XC40,2023,SUV,Black; White; Silver,Gasoline,2,248,258,Automatic,140,27,ABS; Airbags; City Safety Collision Avoidance Technology,9-inch Sensus Touchscreen,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;18-inch Alloy Wheels,35700,4.800000191,1600,57120000,6.2
Toyota,Tacoma,2023,Truck,Red; Black; Silver,Gasoline,3.5,278,359,Automatic,120,21,ABS; Airbags; Toyota Safety Sense P; Rear Parking Assist Sonar,7-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Taillights; Deck Rail System;16-inch Alloy Wheels,35950,4.800000191,1800,64710000,7.2
Toyota,Highlander,2023,SUV,White; Silver; Black,Gasoline,3.5,295,356,Automatic,115,25,ABS; Airbags; Lane Departure Warning; Blind Spot Monitoring,8-inch Touchscreen Display,Cloth Seats; Power Windows; Keyless Entry,LED Headlights; Roof Rails;18-inch Alloy Wheels,36085,4.699999809,1900,68561500,6.9
Honda,Odyssey,2023,Minivan,Gray; White; Silver,Gasoline,3.5,280,355,Automatic,120,22,ABS; Airbags; Honda Sensing; Rear Cross Traffic Monitor,8-inch Display Audio System,Cloth Seats; Power Front Seats; Keyless Entry,LED Headlights; Power Sliding Doors;18-inch Alloy Wheels,36500,4.699999809,1500,54750000,6.6
Toyota,4Runner,2023,SUV,Black; White; Silver,Gasoline,4,270,278,Automatic,115,19,ABS; Airbags; Hill Start Assist Control; Trailer-Sway Control,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Rear Window,LED Headlights; Roof Rails;17-inch Alloy Wheels,36585,4.599999905,1100,40243500,7.5
Jeep,Grand Cherokee,2023,SUV,Gray; Red; Blue,Gasoline,3.599999905,295,348,Automatic,130,26,ABS; Airbags; Blind Spot Monitoring; Rear Cross Path Detection,8.4-inch Uconnect Infotainment,Leather Seats; Heated Front Seats; Power Liftgate,LED Headlights; Roof Rails;18-inch Alloy Wheels,36750,4.699999809,1600,58800000,7.2
Lexus,NX,2023,SUV,Silver; Black; Blue,Gasoline,2.400000095,275,317,Automatic,120,26,ABS; Airbags; Lexus Safety System+3.5; Rear Cross-Traffic Alert,8-inch Touchscreen Display,Leather Seats; Power Front Seats; Keyless Entry,LED Headlights; Roof Rails;18-inch Alloy Wheels,37510,4.800000191,1100,41261000,6.8
Ford,Explorer,2023,SUV,Red; Black; Gray,Gasoline,2.299999952,300,420,Automatic,130,27,ABS; Airbags; Blind Spot Monitor; Rear Cross Traffic Alert,12-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Tailgate,LED Headlights; Roof Rails;20-inch Alloy Wheels,37775,4.800000191,1800,67995000,6.8
Ford,Explorer,2023,SUV,Blue; White; Silver,Gasoline,2.299999952,300,420,Automatic,130,27,ABS; Airbags; Blind Spot Monitor; Rear Cross Traffic Alert,12-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Tailgate,LED Headlights; Roof Rails;20-inch Alloy Wheels,37775,4.800000191,1800,67995000,6.8
Kia,Telluride,2023,SUV,Black; Gray; White,Gasoline,3.799999952,291,355,Automatic,130,21,ABS; Airbags; Forward Collision Avoidance Assist; Blind Spot View Monitor,12.3-inch Touchscreen Display,Leather Seats; Heated Front Seats; Power Liftgate,LED Headlights; Roof Rails;20-inch Alloy Wheels,38500,4.699999809,1800,69300000,7.2
Jeep,Wrangler,2023,SUV,Gray; Green; Red,Gasoline,3.599999905,285,353,Automatic,125,20,ABS; Airbags; Hill Start Assist; Electronic Roll Mitigation,8.4-inch Uconnect Infotainment,Cloth Seats; Keyless Entry; Removable Top,LED Headlights; Tow Hooks;17-inch Alloy Wheels,38950,4.699999809,1800,70110000,7.3
Acura,RDX,2023,SUV,Black; White; Gray,Gasoline,2,272,280,Automatic,135,27,ABS; Airbags; AcuraWatch; Multi-View Rear Camera,10.2-inch True Touchpad Interface,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;19-inch Alloy Wheels,39000,4.699999809,1900,74100000,5.7
Audi,A4,2023,Sedan,White; Gray; Black,Gasoline,2,201,350,Automatic,130,26,ABS; Airbags; Lane Departure Warning; Adaptive Cruise Control,10.1-inch MMI Touchscreen Display,Leather Seats; Heated Front Seats; Tri-Zone Climate Control,LED Headlights; Sunroof;18-inch Alloy Wheels,39900,4.599999905,2300,91770000,6.6
Infiniti,QX50,2023,SUV,Blue; Black; White,Gasoline,2,268,280,Automatic,135,29,ABS; Airbags; Predictive Forward Collision Warning; Rear View Monitor,8-inch Dual Display System,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;20-inch Alloy Wheels,40100,4.699999809,1800,72180000,6.7
Lexus,ES,2023,Sedan,White; Black; Gray,Gasoline,3.5,302,267,Automatic,130,34,ABS; Airbags; Lexus Safety System+3.0; Backup Camera,8-inch Lexus Multimedia System,Leather Seats; Keyless Entry; Sunroof,LED Headlights;18-inch Alloy Wheels,40325,4.800000191,1900,76617500,6.3
Lexus,IS,2023,Sedan,Silver; Black; White,Gasoline,2.400000095,275,317,Automatic,130,27,ABS; Airbags; Lexus Safety System+3.5; Rear Cross-Traffic Alert,8-inch Touchscreen Display,Leather Seats; Power Front Seats; Keyless Entry,LED Headlights;18-inch Alloy Wheels,41050,4.800000191,1000,41050000,6.6
Volvo,XC60,2023,SUV,Black; White; Silver,Gasoline,2,250,258,Automatic,140,26,ABS; Airbags; City Safety Collision Avoidance Technology,9-inch Sensus Touchscreen,Leather Seats; Keyless Entry; Panoramic Moonroof,LED Headlights;19-inch Alloy Wheels,42400,4.800000191,1800,76320000,6.4
Mercedes,C-Class,2023,Sedan,Black; Blue; White,Gasoline,2,255,370,Automatic,155,25,ABS; Airbags; Lane Departure Warning; Adaptive Cruise Control,12.3-inch Digital Instrument Cluster,Leather Seats; Heated Front Seats; Panoramic Sunroof,LED Headlights; Alloy Wheels; Power Trunk,42600,4.800000191,1200,51120000,5.9
Toyota,Tundra,2023,Truck,White; Gray; Black,Gasoline,3.5,389,479,Automatic,120,16,ABS; Airbags; Toyota Safety Sense P; Rear Parking Assist Sonar,8-inch Touchscreen Display,Cloth Seats; Keyless Entry; Power Windows,LED Headlights; Bedliner;18-inch Alloy Wheels,42700,4.699999809,1800,76860000,4.9
Ford,Mustang,2023,Coupe,Yellow; Black; Red,Gasoline,5,450,570,Manual,180,19,ABS; Airbags; Traction Control; Electronic Stability Control,12-inch SYNC4 Infotainment System,Leather Seats; Power Driver's Seat; Ambient Lighting,LED Headlights; Rear Spoiler; Dual Exhaust,42850,4.900000095,1800,77130000,4.3
Audi,Q5,2023,SUV,Gray; Blue; Black,Gasoline,2,261,370,Automatic,135,27,ABS; Airbags; Audi Pre Sense City; Lane Departure Warning,10.1-inch MMI Touchscreen Display,Leather Seats; Heated Front Seats; Panoramic Sunroof,LED Headlights;18-inch Alloy Wheels,43200,4.800000191,1400,60480000,5.9
Mercedes,GLC-Class,2023,SUV,White; Black; Silver,Gasoline,2,255,370,Automatic,140,24,ABS; Airbags; Active Brake Assist; Lane Keeping Assist,10.25-inch Digital Instrument Cluster,Leather Seats; Heated Front Seats; Power Liftgate,LED Headlights; Roof Rails;19-inch Alloy Wheels,43900,4.900000095,1200,52680000,6
Tesla,Model3,2023,Sedan,Black; Silver; Blue,Electric,,241,317,Automatic,140,315,ABS; Airbags; Autopilot; Lane Departure Warning,15-inch Touchscreen Display,Leather Seats; Keyless Entry; Push Button Start,LED Headlights; Power Liftgate;20-inch Alloy Wheels,45000,4.800000191,1300,58500000,5.3
Audi,A5,2023,Coupe,Blue; White; Black,Gasoline,2,261,273,Automatic,130,34,ABS; Airbags; Audi Pre Sense Basic; Audi Pre Sense City,10.1-inch MMI Touch Display,Leather Seats; Keyless Entry; Sunroof,LED Headlights;18-inch Alloy Wheels,45000,4.800000191,1900,85500000,5.2
